,,logexp,,,
station,coordinate,rms15w,rms1y,rms2y,rms
21701S007A03,1,4.423,3.749,3.923,4.693
21701S007A03,2,5.442,5.15,5.325,6.266
21701S007A03,3,3.827,3.615,3.839,4.525
21702M002A07,1,3.742,3.911,3.839,3.994
21702M002A07,2,2.462,3.051,3.031,3.014
21702M002A07,3,4.640,4.594,4.363,4.449
21729S007A04,1,4.299,5.7,5.707,6.655
21729S007A04,2,3.521,4.645,4.718,5.546
21729S007A04,3,4.802,5.435,5.461,5.884
21754S001A01,1,3.207,3.292,3.301,3.35
21754S001A01,2,2.537,2.801,2.65,2.625
21754S001A01,3,2.819,3.224,3.043,3.027
21762S001A01,1,2.799,2.82,2.881,2.913
21762S001A01,2,2.681,2.655,2.608,2.635
21762S001A01,3,2.676,2.819,2.852,2.854
21778S001A01,1,2.425,2.417,2.432,2.571
21778S001A01,2,2.001,2.053,2.076,2.023
21778S001A01,3,2.620,2.575,2.551,2.584
23104M001A01,1,2.412,2.445,2.463,2.52
23104M001A01,2,6.624,7.244,7.053,7.065
23104M001A01,3,2.116,2.089,2.118,2.278
23114M001A01,1,2.844,2.678,2.583,2.376
23114M001A01,2,6.022,6.72,6.475,6.497
23114M001A01,3,2.140,2.109,2.3,2.261
41705M003A04,1,2.124,1.991,1.908,2.074
41705M003A04,2,2.750,3.252,3.084,3.252
41705M003A04,3,2.272,2.313,2.227,2.321
41713S001A02,1,2.755,2.611,2.274,2.415
41713S001A02,2,3.376,4.217,3.902,3.793
41713S001A02,3,2.839,3.196,2.979,2.904
41719M004A02,1,1.990,1.76,1.818,1.921
41719M004A02,2,2.805,3.026,3.039,3.047
41719M004A02,3,2.464,2.367,2.372,2.35